id;name;parent_id;
15132;NIKE;18048
15133;PIERRE BALMAIN;14498
15134;POLICE;14498
15135;VISCONTI DI MODRONE;18048
15136;KARL LAGERFELD;14498
15137;MARVEL;18048
15138;KENNETH COLE;14498
15139;L'ARTISAN PARFUMEUR;14498
15140;PENHALIGON'S;14498
15141;COLLISTAR;14498
15143;ORLANE;14498
15144;FLOR DE MAYO;18048
15145;BIEN ETRE;18048
15147;DIANE VON FURSTENBERG;14498
15148;JULIETTE HAS A GUN;14498
15149;JEAN PATOU;14498
15150;BRONNLEY ENGLAND;18048
15151;ALAIA PARIS;14498
15152;L'ORÉAL PARIS;14498
15153;DON ALGODÓN;18048
15154;FA;18048
15155;GOTAS FRESCAS;18048
15156;INSTITUTO ESPAÑOL;18048
15157;PETIT CHERI;18048
15158;BABARIA;18048
15159;ETIENNE AIGNER;14498
15160;JOHNSON'S;18048
15161;VESPA;18048
15162;SALVADOR DALI;18048
15163;ULRIC DE VARENS;18048
15164;TWILIGHT;18048
15165;LA MARTINA;18048
15166;CONCEPT V DESIGN;18048
15167;BETER;18048
15168;CARIBBEAN JOE;18048
15169;JESSE MCCARTNEY;18048
15170;RAMPAGE;18048
15171;JACADI;14498
15173;BEYONCÉ;18048
15174;LATE CHOCOLATE;18048
15175;EAU JEUNE;18048
15176;MAYFER PERFUMES;18048
15177;NATURAL HONEY;18048
15178;CLAIR MATIN;18048
15179;MOUSSEL;18048
15180;AIRE DE SEVILLA;18048
15181;DENENES;18048
15182;PEPPA PIG;18048
15183;SENSAI;14498
15184;AXE;18048
15185;TULIPÁN NEGRO;18048
15186;ADAM LEVINE;18048
15187;BRISEIS;18048
15188;VELVET;18048
15189;MADERAS DE ORIENTE;18048
15190;AGENT PROVOCATEUR;14498
15191;CLEAN;14498
15192;TAYLOR SWIFT;18048
15193;KATY PERRY;18048
15194;PALMARIA MALLORCA;14498
15195;LIU·JO;14498
15196;MIU MIU;14498
15197;JEAN COUTURIER ;18048
15198;KIM KARDASHIAN;18048
15199;ROBERTO TORRETTA;14498
15200;NASOMATTO;14498
15202;COMME DES GARÇONS;14498
15203;HOLLISTER;14498
15204;ZADIG & VOLTAIRE;14498
15205;AMOUAGE;14498
15206;KOKESHI;14498
15207;IMPERIO LUSSO;14498
15208;NICKELODEON;18048
15209;COMPTOIR SUD PACIFIQUE;14498
15211;ADOLFO DOMINGUEZ;14499
15212;GIORGIO ARMANI;14499
15213;BVLGARI;14499
15214;BURBERRY;14499
15215;CACHAREL;14499
15216;CHLOÉ;14499
15217;DAVIDOFF;14499
15218;DOLCE & GABBANA;14499
15219;ESTÉE LAUDER;14499
15220;ISSEY MIYAKE;14499
15221;JEAN PAUL GAULTIER;14499
15222;LANCASTER;14499
